"id","invoice_no","order_id","order_number","discount","total_pay","balance","payment_mode","code","received_by","amount_received","change","created_at","updated_at"
"2","ZS0002","2","ZS_02","","380","","cash","","2","500","120","2019-03-27 15:13:58","2019-03-27 15:13:58"
"1","ZS0001","3","ZS_03","","360","","cash","","10","500","140","2019-03-25 11:08:15","2019-03-25 11:08:15"
